atom_1,atom_2,pair,count,r2_avg,r2,min_distance,max_distance,r2_avg_ratio,r2_ratio
O1P,O3',A-G,94,0.667,0.804,13.88,20.98,0.63,0.799
O1P,O2',A-G,94,0.669,0.801,11.69,19.53,0.65,0.812
P,O2',A-G,94,0.673,0.799,10.22,18.26,0.655,0.811
P,O3',A-G,94,0.669,0.798,12.42,19.63,0.632,0.794
O1P,C2',A-G,94,0.671,0.795,11.79,18.84,0.648,0.802
O1P,C3',A-G,94,0.671,0.794,13.23,19.89,0.642,0.795
O5',O2',A-G,94,0.67,0.794,9.92,17.12,0.642,0.802
O1P,C4',A-G,94,0.684,0.794,13.72,20.39,0.666,0.804
P,C2',A-G,94,0.675,0.793,10.35,17.53,0.652,0.801
P,C4',A-G,94,0.687,0.792,12.55,19.07,0.667,0.802
O1P,C1',A-G,94,0.685,0.791,11.38,18.25,0.674,0.808
O5',O3',A-G,94,0.664,0.791,12.26,18.63,0.613,0.78
P,C1',A-G,94,0.689,0.791,10.35,16.96,0.677,0.808
P,C3',A-G,94,0.673,0.79,11.8,18.55,0.643,0.791
P,N3,A-G,94,0.689,0.788,7.31,14.14,0.675,0.803
P,O4',A-G,94,0.694,0.788,11.63,17.97,0.684,0.807
O5',C4',A-G,94,0.687,0.787,12.46,18.356666666666666,0.653,0.791
O1P,O4',A-G,94,0.69,0.787,12.6,19.26,0.682,0.807
O1P,N3,A-G,94,0.684,0.787,8.32,15.417142857142858,0.671,0.801
O5',C2',A-G,94,0.67,0.786,10.27,16.47,0.634,0.788
O5',C1',A-G,94,0.689,0.784,10.34,16.173333333333332,0.664,0.796
P,C4,A-G,94,0.687,0.784,8.44,14.43,0.677,0.801
O1P,C5',A-G,94,0.684,0.783,14.9,21.13,0.663,0.79
O1P,C4,A-G,94,0.682,0.783,9.39,15.72,0.674,0.799
O5',C3',A-G,94,0.669,0.783,11.76,17.575000000000003,0.623,0.776
C6,O6,A-G,94,0.702,0.782,3.62,8.94,0.69,0.794
P,N9,A-G,94,0.687,0.781,9.74,15.72,0.677,0.798
P,C5',A-G,94,0.686,0.781,13.89,19.84,0.663,0.787
O5',O4',A-G,94,0.697,0.781,11.692499999999999,17.483333333333334,0.673,0.795
O1P,N9,A-G,94,0.682,0.78,10.71,17.03,0.674,0.798
N9,O2',A-G,94,0.651,0.779,7.09,13.22,0.623,0.786
O2P,O2',A-G,94,0.666,0.777,9.26,17.86,0.658,0.794
C8,O2',A-G,94,0.638,0.777,6.69,13.83,0.62,0.788
P,C2,A-G,94,0.684,0.776,6.22,13.222857142857142,0.67,0.789
C4,O2',A-G,94,0.657,0.776,6.023333333333333,11.87,0.633,0.785
C5,O2',A-G,94,0.644,0.776,4.91,11.78,0.633,0.792
N7,O2',A-G,94,0.633,0.776,5.42,13.08,0.623,0.791
N1,O6,A-G,94,0.683,0.775,3.33,9.72,0.67,0.789
O5',N3,A-G,94,0.686,0.774,7.58,13.254285714285714,0.659,0.782
O1P,C2,A-G,94,0.679,0.774,7.19,14.575714285714286,0.667,0.787
O4',O2',A-G,94,0.635,0.774,9.28,15.29,0.598,0.773
C4,C4',A-G,94,0.679,0.774,8.878333333333334,13.0,0.639,0.775
N9,C4',A-G,94,0.664,0.773,9.928333333333335,14.37,0.621,0.772
O5',C5',A-G,94,0.685,0.772,13.89,19.49,0.645,0.771
O2P,O3',A-G,94,0.663,0.771,11.55,19.13,0.64,0.775
C5',O2',A-G,94,0.627,0.771,9.74,17.42,0.607,0.778
C5,C1',A-G,94,0.655,0.771,6.015000000000001,10.5,0.641,0.79
C5,O4',A-G,94,0.666,0.771,7.271666666666666,11.63,0.653,0.79
C5,C4',A-G,94,0.651,0.771,7.760000000000001,12.62,0.631,0.781
C4,O4',A-G,94,0.699,0.77,8.478333333333333,11.95,0.667,0.782
O5',C4,A-G,94,0.683,0.77,8.81,13.88,0.658,0.78
N9,O4',A-G,94,0.679,0.77,9.43,13.31,0.645,0.779
C4,C1',A-G,94,0.684,0.77,7.2733333333333325,10.8,0.654,0.781
C5,O3',A-G,94,0.622,0.769,7.2,13.18,0.594,0.77
N9,C1',A-G,94,0.664,0.769,8.171666666666667,12.17,0.629,0.776
O5',N9,A-G,94,0.685,0.769,10.01,15.25,0.66,0.78
C4,O3',A-G,94,0.638,0.768,8.27,13.42,0.588,0.759
C8,C4',A-G,94,0.642,0.768,9.43,14.72,0.616,0.774
O2P,N3,A-G,94,0.681,0.768,5.85,13.69,0.676,0.787
C5',O3',A-G,94,0.614,0.767,12.21,19.03,0.571,0.754
O2P,C2',A-G,94,0.666,0.767,9.29,17.05,0.655,0.781
P,N2,A-G,94,0.683,0.767,5.0,13.262857142857143,0.666,0.778
N9,O3',A-G,94,0.628,0.767,9.28,14.76,0.576,0.754
N1,C6,A-G,94,0.692,0.767,3.43,8.54,0.672,0.778
C8,O4',A-G,94,0.653,0.767,8.852500000000001,13.64,0.633,0.781
C8,C1',A-G,94,0.642,0.766,7.55,12.58,0.62,0.778
C5',C4',A-G,94,0.637,0.766,12.3,18.61,0.613,0.77
O2P,C1',A-G,94,0.679,0.765,8.91,16.41,0.677,0.787
C8,O3',A-G,94,0.616,0.764,8.91,15.24,0.58,0.76
P,O5',A-G,94,0.727,0.764,13.7,20.463333333333335,0.736,0.792
O1P,N2,A-G,94,0.678,0.764,6.05,14.585714285714284,0.662,0.775
N7,C1',A-G,94,0.63,0.763,6.25,11.68,0.616,0.78
O2P,C4',A-G,94,0.676,0.763,11.24,18.45,0.668,0.779
O1P,O5',A-G,94,0.722,0.763,14.69,21.82,0.733,0.792
N7,C4',A-G,94,0.628,0.763,8.13,13.785,0.612,0.774
N7,O4',A-G,94,0.638,0.762,7.5649999999999995,12.835,0.626,0.781
C5,C2',A-G,94,0.628,0.762,5.65,11.04,0.608,0.772
N7,O3',A-G,94,0.608,0.762,7.7,14.39,0.584,0.765
O2P,C3',A-G,94,0.665,0.761,10.77,18.0,0.648,0.769
O2P,O4',A-G,94,0.682,0.761,10.18,17.369999999999997,0.683,0.785
O4',C4',A-G,94,0.638,0.761,12.096666666666666,16.59,0.588,0.751
O2P,N2,A-G,94,0.68,0.761,3.54,12.69,0.672,0.777
O2P,C2,A-G,94,0.678,0.761,4.75,12.615714285714287,0.673,0.779
C8,C2',A-G,94,0.621,0.76,7.15,13.12,0.592,0.765
N9,C2',A-G,94,0.634,0.76,7.76,12.61,0.592,0.757
N7,C2',A-G,94,0.613,0.76,5.87,12.29,0.595,0.77
C5',C2',A-G,94,0.618,0.759,10.14,16.87,0.591,0.76
C6,C6,A-G,94,0.698,0.759,4.12,7.75,0.68,0.766
C5',C1',A-G,94,0.635,0.759,10.13,16.39,0.622,0.772
C1',O2',A-G,94,0.623,0.758,8.499999999999998,13.96,0.581,0.756
C5',O4',A-G,94,0.644,0.758,11.47,17.52,0.632,0.774
C5',C3',A-G,94,0.613,0.758,11.65,18.03,0.577,0.749
C5,C3',A-G,94,0.62,0.758,7.04,12.08,0.592,0.761
O2P,C4,A-G,94,0.676,0.757,6.97,13.86,0.675,0.779
C4,C2',A-G,94,0.646,0.756,6.835,11.25,0.607,0.757
O4',O4',A-G,94,0.647,0.756,11.53,15.57,0.61,0.758
O4',C1',A-G,94,0.635,0.755,10.22,14.39,0.598,0.756
N9,C3',A-G,94,0.626,0.755,9.14,13.75,0.573,0.743
C6,O2',A-G,94,0.625,0.755,3.728333333333333,11.879999999999999,0.621,0.775
C8,C3',A-G,94,0.613,0.755,8.58,14.17,0.577,0.752
C4,C3',A-G,94,0.64,0.755,8.215,12.4,0.588,0.745
O4',O3',A-G,94,0.607,0.754,11.45,16.85,0.542,0.729
P,N1,A-G,94,0.675,0.754,6.46,12.387142857142857,0.666,0.768
P,C5,A-G,94,0.678,0.753,8.71,13.715,0.674,0.771
C4',O2',A-G,94,0.613,0.753,10.11,16.23,0.582,0.756
O2P,N9,A-G,94,0.675,0.753,8.27,15.11,0.675,0.775
